id,title,description,author,subject,publicationtype,publicationdateyear,issn,isbn,publisher,peerreviewed,language
EJ113464,A Review of Black Studies as Related to Basic Elements of Curriculum,"From the available literature, this paper reviews Black Studies in terms of its relation to the various elements of curriculum: rationale, objectives, materials, content, methods of implementation and evaluation. Information concerning student attitude toward Black Studies and research instruments related to the measure used in this study are also discussed. (EH)","Newton\, James E.","Black Studies,Cultural Education,Curriculum Development,Curriculum Evaluation,Curriculum Research,Literature Reviews,Student Attitudes",,1974,,,,T,
EJ113465,Counseling From the Past and Present With Blacks,"If counseling services are to remain a viable force in the American school system, black counselors must be involved in significant numbers, join the counseling/guidance professional organizations, and situate counseling in the context of a black life style directed toward self-determination, respect, and justice. (EH)","Smith\, Paul M.\, Jr.","Black Influences,Black Studies,Counselor Role,Counselor Selection,Counselor Training,Counselors,Guidance Personnel,Guidance Programs",,1974,,,,T,
EJ113466,Teacher-Candidates' Poverty Perceptions,"In an attempt to explore the impact of the teacher in programs for the environmentally disadvantaged, teacher-candidates' attitudes toward poverty were investigated with respect to perceived causes, symptoms, relative influence of socialization agents and potential poverty alleviation agents, and most effective treatment strategies. Implications for teacher training and selection, and the need for further research are discussed. (EH)","Long\, Samuel,Long\, Ruth","Economically Disadvantaged,Educationally Disadvantaged,Poverty,Poverty Programs,Teacher Attitudes,Teacher Education,Teacher Influence,Teacher Role,Teacher Selection,Urban Teaching",,1974,,,,T,
EJ113467,A survey of Black Connecticut High School Graduates Attending Out-of State Colleges and Universities,"It was found that a strong desire to leave the state of Connecticut was a major force in black students attending out of state colleges and universities. Other contributory factors included the Connecticut schools lengthy admissions evaluations, the structure of some compensatory education programs, a non-competitive financial aid program and the insensitive image of predominantly white institutions. Recommendations are made to remedy some of these conditions. (EH)","Lyons\, James E.","Black Colleges,Black Students,College Admission,College Choice,Compensatory Education,Financial Support,State Colleges,State Universities,Student College Relationship,Student Costs",,1974,,,,T,
EJ113468,Issues in Predicting Black Student Success in Higher Education,"In the prediction of black student success in higher education, there is a need to go beyond currently used predictors and criteria. The Cultural Study Center at the University of Maryland has begun a systematic effort to examine the utility of present predictors (e.g. SAT scores, high school grades), explore other available variables for use as potential predictors, and attempt to evolve novel predictors by translating the black experience into measured, practical terms. (EH)","Sedlacek\, William E.","Academic Achievement,Black Achievement,Black Culture,Black Students,College Admission,Higher Education,Predictive Measurement,Predictor Variables,Success",,1974,,,,T,
EJ113469,Measuring School Desegregation,A theoretically justified and substantively interpretable measure of desegregation in a school district is proposed in terms of an index which assesses the departure of the actual racial composition of all schools in a system from that projected on the basis of the racial balance for the whole school district. (EH),"Giles\, Michael W.","Measurement Techniques,Racial Balance,School Desegregation,School Districts,School Segregation",,1974,,,,T,
EJ118520,Editorial Comment: De Funis V. Odegaard and the Holmes Memorandum - the practice of Contemporary Racism,"It is suggested that the Supreme Court's resolution of the DeFunis case and a memorandum from Peter Holmes, director of the Civil Rights Office, could mark the beginning of an undeclared period of retrenchment in the areas of minority group rights. Effective strategies need to be formulated to develop a creative affirmative action policy and to monitor the implementation of that policy. (EH)","Martin\, Charles A.","Civil Rights,Educational Discrimination,Equal Education,Equal Opportunities (Jobs),Equal Protection,Racial Discrimination,Racism",,1975,,,,T,
EJ118521,Southern Black Student Activism: Assimilation vs Nativalism,An historical account of Southern Black student dissent in Black colleges in this century which focuses on the continuing conflict between the traditional forces of integration and the pull of assimilation as opposed to a more recent emphasis on black nationalism and a search for a truly black university structure. (EH),"Rosenthal\, Joel","Acculturation,Activism,Black Colleges,Black Community,Black Education,Black Power,Black Students,Civil Disobedience,Civil Rights,Identification (Psychology)",,1975,,,,T,
EJ118522,Developmental Stages of Black Self-discovery: Implications for Using Black Art Forms in Group Interaction,"Six stages of development for black people struggling in the Western world are offered; not as tight psychological stages, but as philosophical points of departure based on the vision of the black artist. The applicability and potential therapeutic value of these stages in group counseling and other educational contexts is discussed. (EH)","Toldson\, Ivory L.,Pasteur\, Alfred B.","Art Expression,Cultural Images,Developmental Psychology,Group Counseling,Group Discussion,Group Guidance,Guidance,Identification (Psychology),Individual Development,Self Concept",,1975,,,,T,
EJ118523,Educating Alienated Inner-City Youth: Lessons from the Street Academies,"In order to try to explain the success of street academies, descriptions of such schools from both the popular and professional literature are used to develop an analysis of typical program characteristics; suggest less obvious possible reasons for success which are usually not cited and speculate on one global program characteristic that may be critical for effectiveness: a commitment to a humanistic concern for the individual as a unique person. (EH)","Levine\, Daniel U.","Community Schools,Dropout Programs,Educational Change,Educational Innovation,Educationally Disadvantaged,Humanistic Education,Instructional Innovation,Nontraditional Education,Urban Education",,1975,,,,T,
EJ118524,Extended Positive Effects of a Comprehensive Head Start - Follow Through Program Sequences on Academic Performance of Rural Disadvantaged Students,"A comparison is made of the academic progress of rural disadvantaged children who attended two types of Head Start programs and also participated in a reinforcing Follow Through program for two years with that of non-Head Start students of similar backgrounds who were also enrolled in the Follow Through program. The data suggest that structured, long term Head Start experiences, coupled with a Follow Through program which continuously builds on these experiences, can make a significant difference in the achievement of disadvantaged rural children in their later school work. (EH)","Borden\, Juliet P.,And Others","Academic Achievement,Early Childhood Education,Educationally Disadvantaged,Followup Studies,Preschool Education,Preschool Evaluation,Rural Youth",,1975,,,,T,
EJ118525,Relationships of Trust and Racial Perceptions Toward Therapist-Client Conditions During Counseling,"The results of this study indicate that both races, black and white, enter into the counseling relationship with some pre-conceived feelings about the opposite race. Yet, if therapy sessions focus on the here-and-now concept, race was not found to preclude counselors from respecting, uncritically accepting, and recognizing the perceptions or feelings symbolized and communicated by different racial groups. (EH)","Wright\, Wilbert","Counseling,Counseling Effectiveness,Counselor Attitudes,Counselor Client Relationship,Counselor Role,Credibility,Helping Relationship,Racial Attitudes,Racial Factors",,1975,,,,T,
EJ118526,Black Studies: Recommendations for Organization and National Consideration,"The departmental model of black studies at the university level is recommended along with programmatic suggestions in order to enhance the effectiveness of such programs. In addition, recommendations for national consideration to advance the building stages of African American studies are made. (EH)","Smith\, William David","Black Education,Black History,Black Studies,Educational Policy,Higher Education,National Programs",,1975,,,,T,
EJ118527,Current Problems of Educational Development in Nigeria,"A discussion of problems of educational development in Nigeria focusingon the responsibility for and control of the nations' educational system, its diversification, the need to relate the schools' curricula to national manpower needs, and the issue of finance. (EH)","Adeyinka\, A. A.","Comparative Education,Curriculum Development,Developing Nations,Educational Change,Educational Development,Educational Finance,Educational Policy,Labor Utilization,Relevance (Education)",,1975,,,,T,
EJ118528,Beyond Being Black: Identification Alone is Not Enough,The findings indicate a lack of the influence of the variable of black identification on outgroup attitudes and willingness to associate. Nor is the contention supported that strong ingroup identification leads to a positive or negative outgroup orientation. The implications of these results for educational implications and minority group agencies are discussed. (EH),"Toomer\, Jethro W.","Black Community,Group Unity,Identification (Psychology),Intergroup Education,Intergroup Relations,Racial Attitudes,Racial Factors,Racial Relations",,1975,,,,T,
EJ118529,Do Black and White University Interns Differ in Their Basic Values?,"Black and White Toledo Teacher Corps interns were given the RokeachValue Survey. Black interns were found to be more personally concerned with cleanliness, independence, politeness and self-control than were white interns who were more concerned with honesty and salvation. Implications of these findings are discussed in terms of providing evidence against some popular motions about white and black university students and in the formulationof educational policy. (EH)","Sikula\, John P.,Sikula\, Nadrew F.","Educational Policy,Ethnic Discrimination,Goal Orientation,Middle Class Standards,Racial Differences,Social Attitudes,Social Values,Teacher Education,Teacher Interns,Values",,1975,,,,T,
EJ1214082,Black Mixed-Race Male Experiences of the UK Secondary School Curriculum,"Drawing on findings from 20 semi-structured interviews carried out in 2013, this article seeks to contribute to the limited body of literature exploring the schooling experiences of the mixed-race population in the United Kingdom. Taking a particular focus on the secondary school curriculum, the article provides examples in which Black mixed-race males identify as Black and as mixed-race, interchangeably and simultaneously. Therefore, the article suggests that if we are to fully understand the experiences of Black mixed-race males, the development of a new conceptual framework that acknowledges the coalescence of Blackness and mixedness is necessary. Although the focus remains on Black mixed-race male pupils, the analysis may raise new questions for the way we view mixed-race populations.","Joseph-Salisbury\, Remi","Foreign Countries,Blacks,Males,Multiracial Persons,Secondary School Students,Student Experience,Secondary School Curriculum","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214083,Looking for Brothers: Black Male Bonding at a Predominantly White Institution,"This article seeks to examine Black male bonding at a predominantly White university. Prior research suggests that Black students seek social connections with other Black students as a means for negating the discomforts of racial alienation. However, these friendships are not always sought solely in response to difficulties integrating into White environments or combatting stereotypes. The authors emphasize emotional and social causes to explain the bonds Black men wished to create as they left the familiarity of home and moved on to the new environment of college. The authors find that these men sought these relationships because they lacked friends, wished to recreate family and family-like relationships, and wanted to associate with successful Black male peers.","Jackson\, Brandon A.,Hui\, Mary Margaret","College Students,African American Students,Racial Composition,College Environment,Whites,Minority Group Students,Males,Peer Relationship,Friendship,Student Attitudes,Family Environment","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214086,"Who&apos;s Getting Targeted for Behavioral Interventions? Exploring the Connections between School Culture, Positive Behavior Support, and Elementary Student Achievement","This correlational research study examined the effect of behavioral interventions through School-wide Positive Behavior Interventions and Supports (SW-PBIS) on elementary student reading and math achievement. Additionally, teacher perceptions of positive behavior interventions and supports (PBIS) implementation were explored. No statistically significant relationship was found between student participation in PBIS Tier II behavior interventions and academic achievement. However, there were significant differences in the percentages of male students, students of color, and students from high poverty backgrounds who were identified as needing Tier II behavioral interventions by the predominantly White, female, middle class teachers. Findings are discussed in terms of the importance of inclusive school cultures that support academic and personal achievement for all students which must consider the cultural norms and behaviors that students bring to school.","Reno\, Geoffrey D.,Friend\, Jennifer,Caruthers\, Loyce,Smith\, Dianne","School Culture,Positive Behavior Supports,Elementary School Students,Program Effectiveness,Reading Achievement,Mathematics Achievement,Teacher Attitudes,Elementary School Teachers,Student Behavior,Disproportionate Representation,Males,Minority Group Students,Low Income Students,Student Participation","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214087,The Effects of Professors&apos; Race and Clothing Style on Student Evaluations,"This study examined the effects of professors' race and clothing style on student evaluations. Students were randomly assigned to one of four conditions in which they received a photograph and description of a professor. The only difference between conditions was the photograph, which systematically varied race (Black or White) and clothing style (casual or formal). Both Black and White students rated the Black professor less favorably than the White professor. Students trusted the Black professor more when he was pictured in formal compared to casual clothing, while the reverse was true for the White professor. The authors' results support previous research showing that Black professors have a significant disadvantage in the student evaluation process when compared to White professors.","Aruguete\, Mara S.,Slater\, Joshua,Mwaikinda\, Sekela R.","Race,Racial Differences,Clothing,African American Teachers,Whites,Racial Bias,Student Attitudes,College Faculty,Teacher Characteristics,College Freshmen,Ethnicity,Student Characteristics,African American Students,White Students","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214088,A Comparison of Reading and Math Achievement for African American Third Grade Students in Montessori and Other Magnet Schools,"Montessori programs are expanding in public schools, serving a large proportion of African American students. Although recent Montessori research has focused on diverse public school populations, few studies have examined outcomes for African American students at the lower elementary level. This quasi-experimental study compares reading and math achievement for African American third grade students in public Montessori and other magnet schools in a large, urban district in North Carolina. Scores from end-of-grade state tests of reading and math are compared using a multivariate analysis of covariance. No significant difference in math scores was identified, but students in Montessori schools scored significantly higher in reading. This suggests that Montessori lower elementary instruction may be beneficial for African American students.","Brown\, Katie,Lewis\, Chance W.","African American Students,Elementary School Students,Grade 3,Montessori Schools,Magnet Schools,Reading Achievement,Mathematics Achievement,Urban Schools,Comparative Analysis,Public Schools,School Effectiveness","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214100,Antecedents of College Campus Protests Nationwide: Exploring Black Student Activists&apos; Demands,"In the wake of campus unrests provoked by conscious and subconscious racist acts undergirded by institutional racism, the author of this article explores the root causes of the incidents and the protests. The demands of Black student activists in 73 universities are analyzed. The most recurrent demands in the 73 universities are ranked by order of frequency as follow: 55 want an increase in faculty of color, 49 want diversity training for faculty and staff, 44 want an increase in students of color, 44 want a required racial/social justice course for all students.","Ndemanu\, Michael T.","African American Students,Activism,College Students,Critical Theory,Race,Diversity (Faculty),College Faculty,Sensitivity Training,Minority Group Students,Enrollment,School Holding Power,College Curriculum,Social Justice,Required Courses,College Presidents,College Entrance Examinations,Admission Criteria","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214102,Black and Brown Millennial Activism on a PWI Campus in the Era of Trump,"This is a qualitative study of 12 Black and Brown student activists at a predominantly White institution (PWI). Using a combined civic engagement and critical race theory framework to analyze student narratives, the authors found that the campus climate is responsible for initiating students into activism, that millennials viewed activism on a spectrum, that minoritized identities are a driving motivation for engagement, and finally the first 100 days of Trump had little effect on the motivations of Black and Brown activists.","Logan\, Ginnie,Lightfoot\, Brian A.,Contreras\, Ana","Activism,Minority Group Students,Generational Differences,College Students,College Environment,Student Participation,African American Students,Critical Theory,Race,Age Groups,Racial Bias,Hispanic American Students,Social Media","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214122,&quot;Me and My Family&quot;: Ethnic Differences and Familial Influences on Academic Motivations of Black Collegians,"The purpose of this study is to offer a nuanced examination of how Black families influence academic achievement and college-going by disaggregating data by ethnicity and nativity. Specifically, the authors explore how families shape the academic and college-going motivations of Black native students and Black immigrant students. Findings suggest that irrespective of ethnicity or nativity, students' academic motivation typically stemmed from family, with students describing a family expectation that they go to college. Students' self-motivation and future goal orientation also intersected with family as a source of motivation. Nevertheless, distinctions emerged across ethnicity and nativity in perceptions of how family influenced academic motivation and the messages students received from family members about college-going and academic performance.","Mwangi\, Chrystal A. George,Daoud\, Nina,English\, Shelvia,Griffin\, Kimberly A.","African American Students,African Americans,Family Influence,Academic Achievement,College Attendance,Ethnicity,Racial Identification,Student Motivation,Immigrants,Blacks,Goal Orientation,College Students,Student Attitudes,Self Determination","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214124,Black Student Leaders Practicing Resistance in the Midst of Chaos: Applying Transgenerational Activist Knowledge to Navigate a Predominantly White Institution,"This study examines how 12 Black student leaders apply transgenerational knowledge to pursue social change while attending a predominantly White institution. Findings indicated participants' used Black cultural beliefs as a source of pride concerning what it means to be Black and to create positive change on campus through engaging in activism. By applying parental and elder transgenerational knowledge participants were able to preserve and protect the communal interest of Black students. Participants engaged in face-to-face and digital modes of protest, resistance and communication by using technology to conduct activism. The emergent themes were: Preserving &quot;My&quot; Black; and Digital Underground. These findings provide insight into how Black student leadership identities are positively influenced by racial socialization.","Hotchkins\, Bryan K.","African American Students,Racial Composition,Whites,College Environment,Student Leadership,Social Change,Activism,African American Culture,Cultural Influences,Family Influence,Information Technology,Racial Identification,Socialization,Racial Bias,African American History,Student Experience,Cultural Maintenance","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214125,"Recounting Racism, Resistance, and Repression: Examining the Experiences and #Hashtag Activism of College Students with Critical Race Theory and Counternarratives","This article offers a qualitative examination of one predominantly white university in the Midwest. Racist epithets and threats targeting African Americans were painted on buildings. While faculty and staff struggled to compose a collective written response, researched state law and the University's Code of Conduct around hate speech, and waited for words of encouragement from the administration, students collectively rallied to demonstrate their status as full members of the University, to reaffirm their humanity through tweets, Facebook PSAs, Snapchat videos, and with walk-outs and sit-ins. Employing Critical Race Theory, specifically counter-storytelling as an analytic tool, this case study uses interview data to historicize the racial violence and document students' civil disobedience, activism, and subsequent administrative actions in that moment.","Reynolds\, Rema,Mayweather\, Darquillius","Racial Bias,African American Students,White Students,Racial Composition,Social Bias,Activism,Social Media,Critical Theory,Race,Violence,Civil Disobedience,Advocacy,Teacher Role,Cultural Relevance,Change Strategies,College Students","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214130,The Heterogeneity of Resistance: How Black Students Utilize Engagement and Activism to Challenge PWI Inequalities,"The national prevalence of systemic bias, such as police brutality, has influenced resistance to institutionalized racism on college campuses. Because of the daily microaggressions Black students experience at predominantly White institutions, they often utilize various forms of engagement and activism to hold institutions accountable for equity in higher education. Through this study the authors examined how Black student leaders challenge inequitable policies through their individual as well as collective efforts. Using a social identity framework and case study methodology, Black student leaders' reflections on their strategies in invoking change on campus are explored. Through heterogeneous approaches of engagement and activism, participants called attention to the greater need of communities of color being included in institutional reform.","Jones\, Veronica A.,Reddick\, Richard J.","African American Students,Learner Engagement,Activism,College Students,Institutional Characteristics,Whites,Resistance (Psychology),Campuses,Higher Education,Minority Group Students,Leadership","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
EJ1214131,Recruitment without Retention: A Critical Case of Black Faculty Unrest,"Drawn from a qualitative, critical case study of Black faculty's experience at a predominantly White institution, this study describes what may precede campus protests and demands for more Black faculty. Faculty voices highlight how racism and a hostile campus culture can lead to low retention and an overall sense of faculty unrest. The authors used critical race theory to analyze data and examine ways PWIs can better retain Black faculty.","Kelly\, Bridget Turner,Gayles\, Joy Gaston,Williams\, Cobretti D.","Diversity (Faculty),African American Teachers,Teacher Persistence,Teacher Recruitment,College Faculty,Critical Theory,Race,Institutional Characteristics,Whites,Teacher Attitudes,Teaching Experience,Campuses","Journal Articles,Reports - Research",2017,ISSN-0022-2984,,"Howard University School of Education. 2900 Van Ness Street NW, Washington, DC 20008. Tel: 202-806-8120; Fax: 202-806-8434; e-mail: journalnegroed@gmail.com; Web site: http://www.journalnegroed.org",T,English
